cvegeo,Municipio,Población 1,Porcentaje de población  en situación de pobreza,Porcentaje de población  en situación de pobreza moderada,Porcentaje de población  en situación de pobreza extrema,Porcentaje de población  vulnerable por carencias sociales,Porcentaje de población  vulnerable por ingresos,Porcentaje de población  no pobre y no vulnerable,Porcentaje de población con al menos una carencia social,Porcentaje de población con almenos tres carencias sociales,Porcentaje de población con carencia por rezago educativo,Porcentaje de población con carencia por acceso a los servicios de salud,Porcentaje de población con carencia por acceso a la seguridad social,Porcentaje de población con carencia por calidad y espacios de la vivienda,Porcentaje de población con carencia por acceso a los servicios básicos en la vivienda,Porcentaje de población con carencia por acceso a la alimentación,Porcentaje de población con ingreso inferior a la línea de bienestar,Porcentaje de población con ingreso inferior a la línea de bienestar mínimo,Coeficiente de Gini
31065,San Felipe,"1,825",35.7,32.3,3.5,32.6,15.2,16.4,68.3,12.8,30.4,7.0,46.2,12.2,9.7,10.3,50.9,21.2,0.47
31066,Santa Elena,"3,804",86.0,57.7,28.3,11.0,1.5,1.5,97.0,52.7,36.8,7.1,87.5,26.0,72.7,30.9,87.5,45.6,0.35
31067,Seyé,"9,627",69.0,52.6,16.5,25.1,2.8,3.1,94.2,60.3,37.4,32.0,62.0,30.3,78.2,48.9,71.8,21.9,0.31
31068,Sinanché,"3,096",70.0,49.8,20.2,19.1,4.9,6.1,89.1,43.8,30.4,17.0,63.0,21.2,54.4,46.7,74.8,32.8,0.38
31069,Sotuta,"7,726",75.7,45.2,30.5,21.6,1.0,1.7,97.2,78.4,44.4,23.8,89.2,52.8,87.2,41.8,76.7,34.7,0.35
31070,Sucilá,"3,904",77.1,56.8,20.3,13.9,3.6,5.4,91.0,35.8,28.0,12.6,81.6,25.5,50.9,11.1,80.7,41.7,0.41
31071,Sudzal,"1,687",69.6,47.8,21.8,28.0,0.9,1.5,97.6,49.6,33.9,15.9,86.8,36.8,68.5,16.3,70.5,34.0,0.42
31072,Suma,"1,848",39.9,32.8,7.1,44.7,3.4,12.0,84.5,32.7,32.4,18.3,37.1,27.9,64.8,12.1,43.3,13.8,0.41
31073,Tahdziú,"4,443",95.6,29.8,65.8,4.0,0.2,0.2,99.6,86.7,42.2,5.3,97.7,52.6,83.9,70.9,95.9,73.2,0.39
31074,Tahmek,"3,592",68.4,56.2,12.2,15.5,8.7,7.5,83.8,30.5,32.2,17.0,36.9,23.0,64.9,16.3,77.0,27.4,0.32
31075,Teabo,"6,644",88.1,44.0,44.2,9.7,0.6,1.5,97.9,78.0,45.8,20.2,94.0,47.5,87.0,54.9,88.8,50.0,0.55
31076,Tecoh,"20,808",60.1,49.2,10.8,32.1,3.0,4.8,92.2,46.9,37.3,2.2,59.9,32.2,76.9,25.4,63.1,17.4,0.35
31077,Tekal de Venegas,"2,602",80.8,55.5,25.3,12.6,4.1,2.5,93.4,52.7,38.6,31.0,41.2,38.2,57.5,63.8,84.9,39.5,0.34
31078,Tekantó,"3,667",70.5,51.5,19.1,21.1,3.7,4.6,91.7,47.9,32.9,17.1,45.5,33.1,67.3,46.9,74.2,29.1,0.35
31079,Tekax,"40,589",71.4,49.0,22.4,18.8,2.6,7.2,90.1,49.4,33.1,11.6,79.4,35.0,63.4,15.8,74.0,32.2,0.46
31080,Tekit,"9,466",76.4,55.2,21.2,19.4,1.8,2.3,95.9,64.0,50.2,38.5,70.4,40.5,66.8,42.2,78.3,27.1,0.40
31081,Tekom,"3,077",92.4,39.0,53.3,6.4,0.6,0.6,98.8,80.3,37.5,19.3,92.9,46.2,84.4,65.4,93.0,61.4,0.37
31082,Telchac Pueblo,"3,509",69.1,47.5,21.6,18.1,4.7,8.0,87.3,51.1,26.6,38.2,53.5,14.5,53.6,64.6,73.8,29.6,0.39
31083,Telchac Puerto,"1,687",43.1,37.4,5.8,44.6,3.3,9.0,87.7,25.8,32.3,23.5,74.3,20.8,21.9,9.1,46.5,17.4,0.43
31084,Temax,"6,954",79.6,48.2,31.4,14.6,2.4,3.4,94.2,61.4,41.8,33.2,54.9,39.0,82.4,51.8,82.0,39.6,0.36
31085,Temozón,"12,986",80.6,53.6,27.0,15.9,1.2,2.4,96.4,54.3,38.3,13.7,92.6,42.5,55.1,12.7,81.7,41.3,0.42
31086,Tepakán,"2,204",49.4,38.3,11.1,43.5,2.1,5.0,92.9,45.0,42.0,9.9,38.1,40.9,69.8,37.8,51.4,17.9,0.38
31087,Tetiz,"4,689",75.2,51.5,23.7,21.8,1.6,1.4,97.1,60.1,47.0,27.1,64.4,37.3,81.8,34.0,76.8,31.7,0.33
31088,Teya,"1,968",58.5,43.7,14.8,37.1,1.2,3.2,95.6,50.9,35.5,6.6,67.9,42.0,70.6,35.8,59.7,23.3,0.39
31089,Ticul,"47,425",60.5,50.0,10.5,28.2,2.8,8.4,88.7,40.5,25.1,14.6,79.7,23.9,44.3,30.2,63.4,15.7,0.40
31090,Timucuy,"7,094",63.1,45.3,17.8,33.7,0.7,2.5,96.8,70.4,42.5,49.7,61.5,38.0,77.4,65.0,63.8,20.7,0.33
31091,Tinum,"12,606",60.3,44.6,15.7,35.7,1.2,2.8,96.0,59.6,31.5,20.4,85.4,36.5,72.8,35.1,61.5,20.0,0.38
31092,Tixcacalcupul,"6,422",93.3,35.9,57.4,6.0,0.2,0.4,99.3,84.7,39.7,30.5,94.5,40.4,82.7,76.2,93.5,65.1,0.39
31093,Tixkokob,"19,269",42.1,36.5,5.6,38.2,5.7,14.1,80.3,25.6,24.0,21.0,47.6,14.4,49.5,11.6,47.7,11.4,0.39
31094,Tixmehuac,"4,742",81.4,48.0,33.4,16.9,0.6,1.2,98.2,60.4,36.6,12.5,82.6,40.1,89.8,16.8,82.0,49.8,0.41
31095,Tixpéhual,"6,536",39.6,32.8,6.8,35.9,9.5,15.1,75.5,30.5,27.9,24.7,34.6,17.9,53.8,18.4,49.1,13.8,0.36
31096,Tizimín,"74,874",71.1,48.7,22.4,20.6,2.0,6.3,91.7,55.9,33.8,12.1,80.3,38.3,67.1,30.9,73.1,29.0,0.45
31097,Tunkás,"3,451",85.1,42.7,42.4,11.0,1.6,2.3,96.1,71.2,39.4,24.0,87.7,34.0,78.8,54.7,86.7,50.5,0.39
31098,Tzucacab,"11,384",84.1,48.5,35.6,11.9,1.7,2.3,96.0,62.7,36.9,13.6,85.0,40.0,85.8,18.2,85.8,46.3,0.41
31099,Uayma,"3,775",91.5,40.9,50.6,7.2,0.6,0.6,98.8,81.0,41.6,14.9,92.9,41.7,79.2,72.1,92.2,58.0,0.36
31100,Ucú,"3,434",54.8,44.8,10.0,30.7,5.6,8.9,85.5,35.2,33.0,24.8,57.0,16.6,57.5,14.3,60.4,17.5,0.35
31101,Umán,"56,247",44.7,38.3,6.4,31.2,8.7,15.4,75.9,27.8,25.1,18.6,46.1,20.4,42.2,15.2,53.3,12.2,0.37
31102,Valladolid,"80,923",62.2,45.1,17.0,24.0,3.3,10.6,86.2,43.7,27.7,19.0,75.9,26.1,53.9,17.7,65.5,23.8,0.47
31103,Xocchel,"3,231",77.0,53.9,23.1,18.3,2.5,2.1,95.3,62.7,37.8,44.7,66.1,38.1,83.3,28.0,79.5,30.6,0.32
31104,Yaxcabá,"17,599",72.3,46.9,25.4,27.4,0.1,0.2,99.7,75.1,38.4,20.6,94.6,43.8,91.8,22.5,72.4,30.3,0.37
31105,Yaxkukul,"2,853",63.8,49.8,14.0,21.1,6.7,8.4,84.9,39.2,25.5,35.4,58.5,15.8,53.6,27.9,70.5,21.2,0.33
31106,Yobaín,"2,133",46.1,37.3,8.8,45.3,1.7,6.9,91.4,37.4,29.5,8.1,69.9,30.6,62.1,15.0,47.8,16.8,0.43
